CL:name	level	CL:identifier
Epithelial cell	0	CL:0000066
Endothelial cell	1	CL:0000115
Stromal cell	0	CL:0000499
Immune cell	0	CL:0000988
Hematopoetic cell	0	CL:0000988
Neural cell	0	CL:0002319
Pericyte	0	CL:0000669
Undifferentiated	0	nan
Unknown	0	nan
Gut absorptive cell	1	CL:0000677
Glandular epithelial cell	1	CL:0000150
Endo-epithelial cell	1	CL:0002076
Fibroblast lineage	1	
Smooth muscle cell	1	CL:0000192
Mesothelilal cell	1	CL:0000077
Chondrocyte	1	CL:0000138
Lymphoid cell	1	CL:0000542
Myeloid cell	1	CL:0000766
Granulocyte	1	CL:0000094
Megakaryocytic and erythroid	1	
Neuron	1	CL:0000540
Neuron associated cell	1	CL:0000095
Stem cell	1	CL:0000034
Transit amplifying cell	1	CL:0009010
Enterocyte	2	CL:0000584
Goblet cell	2	CL:0000160
Enteroendocrine cell	2	CL:0000164
M cell	2	CL:0000682
Intestinal tuft cell	2	CL:0019032
Fibroblast cell	2	CL:0000057
Myofibroblast cell	2	CL:0000186
B cell lineage	2	CL:0000945
T cell lineage	2	CL:0000084
Innate lymphoid cell	2	CL:0001065
Glial cell	2	CL:0000125
B cell	3	CL:0000236
Plasma cell	3	CL:0000786
CD4-positive, alpha-beta cytotoxic T cell	3	CL:0000934
CD8-positive, alpha-beta cytotoxic T cell	3	CL:0000794
gamma-delta T cell	3	CL:0000798
NK T cell	3	CL:0000814
Natural Killer cell	3	CL:0000623
ILC1	3	CL:0001068
Dendritic cell	3	CL:0000451
Macrophage	3	CL:0000235
Monocyte	3	CL:0000576
Mast cell	3	CL:0000097
Basophil	3	CL:0000767
Neutrophil	3	CL:0000775
Eosinophil	3	CL:0000771
Megakaryocyte	3	CL:0000556
Erythrocyte	3	CL:0000232
Erythroblast	3	CL:0000765
T helper 1 cell	4	CL:0000545
T helper 2 cell	4	CL:0000546
T helper 17 cell	4	CL:0000899
T helper 22 cell	4	CL:0001042
CD4-positive, CD25-positive, alpha-beta regulatory T cell	4	CL:0000792
T helper 9 cell	4	CL:0002061
T follicular regulatory cell	4	CL:0009113
Tr1 cell	4	CL:0000901
CD4 naive T cell	4	CL:0000898
CD4 memory T cell	4	CL:0000897
CD8 naive T cell	4	CL:0000900
CD8 memory T cell	4	CL:0000909
CD8 cytokine secreting T cell	4	CL:0000908
CD8 regulatory T cell	4	CL:0000795
memory B cell	4	CL:0000787
Basal cell	3	CL:0000646
Epithelial fate stem cell	2	CL:0000036
Ciliated cell	1	CL:0000064
Hillock cell	1	CL:4030024
mucosal invariant T cell	4	CL:0000940
Brush cell	1	CL:0002204
Ionocyte	1	CL:0005006
Tuft cell	1	CL:0002204
Neuroendrocrine cell	1	CL:0000165
Melanocyte	0	CL:0000148
Squamous cell	1	CL:0000076
Follicular B cell	4	
Type I Pneumocyte		CL:0002062
Langerhans cell	2	CL:0000453
Microglial cell		
naive T helper cell		CL:0000895
Oligodendrocyte		CL:0000128
ILC3	3	CL:0001071
Eccrine cell		CL:0000434
Ectoepithelial cell	1	CL:0002077
Epidermal cell	2	CL:0000362
Keratinocyte	3	CL:0000312
Hematopoietic stem cell	1	CL:0000037
